director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Breck EisnerBen Wheatley,Matthew McConaugheySharlto Copley,Rainn WilsonArmie Hammer,Delroy LindoBrie Larson,Action Adventure Comedy ThrillerAction Comedy Crime Thriller,saharafree fire,Matthew McConaughey Rainn Wilson Delroy Lindo Breck Eisner Action Adventure Comedy ThrillerSharlto Copley Armie Hammer Brie Larson Ben Wheatley Action Comedy Crime Thriller
Hironobu SakaguchiKitty Green,Steve BuscemiHannah Cagwin,Ming-Na WenAeona Cruz,Jean SimmonsLiv Bagley,Action Adventure Animation Fantasy Romance Sci-FiDocumentary,final fantasy: the spirits withincasting jonbenet,Steve Buscemi Ming-Na Wen Jean Simmons Hironobu Sakaguchi Action Adventure Animation Fantasy Romance Sci-FiHannah Cagwin Aeona Cruz Liv Bagley Kitty Green Documentary
Joe JohnstonEtienne Comar,Chris EvansReda Kateb,Dominic CooperCécile de France,Hayley AtwellÀlex Brendemühl,Action Adventure Sci-FiDrama,captain america: the first avengerdjango,Chris Evans Dominic Cooper Hayley Atwell Joe Johnston Action Adventure Sci-FiReda Kateb Cécile de France Àlex Brendemühl Etienne Comar Drama
Peter WeirSamuli Valkama,James D'ArcyNoah Kin,Lee InglebyHeikki Nousiainen,David ThrelfallMikko Nousiainen,Action Adventure Drama History WarComedy Drama,master and commander: the far side of the worldunexpected journey,James D'Arcy Lee Ingleby David Threlfall Peter Weir Action Adventure Drama History WarNoah Kin Heikki Nousiainen Mikko Nousiainen Samuli Valkama Comedy Drama
Bill CondonOren Moverman,Robert PattinsonRichard Gere,Kristen StewartLaura Linney,Taylor LautnerSteve Coogan,Adventure Drama Fantasy RomanceDrama Thriller,the twilight saga: breaking dawn - part 2the dinner,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy RomanceRichard Gere Laura Linney Steve Coogan Oren Moverman Drama Thriller
George MillerJosef Hader,Robin WilliamsJosef Hader,Brad PittGeorg Friedrich,CommonCrina Semciuc,Animation Comedy Family MusicalComedy Crime Drama,happy feet 2wild mouse,Robin Williams Brad Pitt Common George Miller Animation Comedy Family MusicalJosef Hader Georg Friedrich Crina Semciuc Josef Hader Comedy Crime Drama
Louis LeterrierBrian Vernick,Ty BurrellCheryl M. Bailey,Peter MensahLouis Ballezzi,William HurtShawn Bittenbender,Action Adventure Sci-FiCrime Drama,the incredible hulkthe avenue,Ty Burrell Peter Mensah William Hurt Louis Leterrier Action Adventure Sci-FiCheryl M. Bailey Louis Ballezzi Shawn Bittenbender Brian Vernick Crime Drama
unknownSteven C. Miller,Don JohnsonNicolas Cage,Philip Michael ThomasChristopher Rob Bowen,John DiehlAdrian Grenier,Action Crime Drama Mystery ThrillerAction Crime Thriller,miami vice            arsenal,Don Johnson Philip Michael Thomas John Diehl unknown Action Crime Drama Mystery ThrillerNicolas Cage Christopher Rob Bowen Adrian Grenier Steven C. Miller Action Crime Thriller
Steven SpielbergAdolfo Martínez Pérez,Mark RylanceAriadna Gil,Penelope WiltonRoberto Álamo,Rafe SpallAntonio Garrido,Adventure Family FantasyWar,the bfgrescue under fire,Mark Rylance Penelope Wilton Rafe Spall Steven Spielberg Adventure Family FantasyAriadna Gil Roberto Álamo Antonio Garrido Adolfo Martínez Pérez War
David SorenVanessa Parise,Ryan ReynoldsHaley Pullos,Snoop DoggJudd Nelson,Ben SchwartzSasha Clements,Adventure Animation Comedy Family SportDrama,turbofrom straight a's to xxx,Ryan Reynolds Snoop Dogg Ben Schwartz David Soren Adventure Animation Comedy Family SportHaley Pullos Judd Nelson Sasha Clements Vanessa Parise Drama
Gore VerbinskiFernando González Molina,Johnny DeppMarta Etura ,Ray WinstoneElvira Mínguez,Stephen RootFrancesc Orella,Adventure Animation Comedy Family WesternThriller,rangothe invisible guardian,Johnny Depp Ray Winstone Stephen Root Gore Verbinski Adventure Animation Comedy Family WesternMarta Etura  Elvira Mínguez Francesc Orella Fernando González Molina Thriller
Paul GreengrassAaron Katz,Matt DamonLola Kirke,Edgar RamírezZoë Kravitz,Albert FinneyJohn Cho,Action Mystery ThrillerThriller,the bourne ultimatumgemini,Matt Damon Edgar Ramírez Albert Finney Paul Greengrass Action Mystery ThrillerLola Kirke Zoë Kravitz John Cho Aaron Katz Thriller
Peyton ReedFiona Gordon Dominique Abel,Judy GreerFiona Gordon,Hayley AtwellDominique Abel,T.I.Emmanuelle Riva,Action Adventure Comedy Sci-FiComedy,ant-manlost in paris,Judy Greer Hayley Atwell T.I. Peyton Reed Action Adventure Comedy Sci-FiFiona Gordon Dominique Abel Emmanuelle Riva Fiona Gordon Dominique Abel Comedy
Bill CondonFrancis Whately,Robert PattinsonTony Visconti,Kristen StewartGail Ann Dorsey,Taylor LautnerTony Basil,Adventure Drama Fantasy RomanceMusic Documentary,the twilight saga: breaking dawn - part 2david bowie: the last five years,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy RomanceTony Visconti Gail Ann Dorsey Tony Basil Francis Whately Music Documentary
Tim JohnsonAmanda Kernell,Jim ParsonsLene Cecilia Sparrok,Matt JonesMia Sparrok,April WinchellMaj-Doris Rimpi,Adventure Animation Comedy Family Fantasy Sci-FiDrama,homesami blood,Jim Parsons Matt Jones April Winchell Tim Johnson Adventure Animation Comedy Family Fantasy Sci-FiLene Cecilia Sparrok Mia Sparrok Maj-Doris Rimpi Amanda Kernell Drama
Steven SpielbergAndrew Getty,Tom CruiseFred Koehler,Lisa Ann WalterSean Patrick Flanery,Rick GonzalezBrianna Brown,Adventure Sci-Fi ThrillerHorror,war of the worldsthe evil within,Tom Cruise Lisa Ann Walter Rick Gonzalez Steven Spielberg Adventure Sci-Fi ThrillerFred Koehler Sean Patrick Flanery Brianna Brown Andrew Getty Horror
Michael BayMark Pellington,Will SmithShirley MacLaine,Henry RollinsAmanda Seyfried,Jordi MollàAnne Heche,Action Comedy Crime ThrillerComedy Drama,bad boys iithe last word,Will Smith Henry Rollins Jordi Mollà Michael Bay Action Comedy Crime ThrillerShirley MacLaine Amanda Seyfried Anne Heche Mark Pellington Comedy Drama
Chris MillerDax Shepard,Salma HayekMichael Peña,Constance MarieDax Shepard,Amy SedarisJessica McNamee,Action Adventure Animation Comedy Family FantasyAction Comedy Crime,puss in bootschips,Salma Hayek Constance Marie Amy Sedaris Chris Miller Action Adventure Animation Comedy Family FantasyMichael Peña Dax Shepard Jessica McNamee Dax Shepard Action Comedy Crime
Phillip NoyceJeffrey Blitz,Angelina Jolie PittAnna Kendrick,Andre BraugherCraig Robinson,August DiehlJune Squibb,Action Crime Mystery ThrillerComedy Drama,salttable 19,Angelina Jolie Pitt Andre Braugher August Diehl Phillip Noyce Action Crime Mystery ThrillerAnna Kendrick Craig Robinson June Squibb Jeffrey Blitz Comedy Drama
Darren AronofskyZach Braff,Anthony HopkinsMorgan Freeman,Emma WatsonMichael Caine,Logan LermanAlan Arkin,Action Adventure DramaCrime Comedy Drama,noahgoing in style,Anthony Hopkins Emma Watson Logan Lerman Darren Aronofsky Action Adventure DramaMorgan Freeman Michael Caine Alan Arkin Zach Braff Crime Comedy Drama
Steven SpielbergGeoffrey Orthwein Andrew Sullivan,Toby JonesMaika Monroe,Mackenzie CrookMatt O'Leary,Tony CurranArnar Jónsson,Action Adventure Family MysteryDrama Sci-Fi Thriller,the adventures of tintinbokeh,Toby Jones Mackenzie Crook Tony Curran Steven Spielberg Action Adventure Family MysteryMaika Monroe Matt O'Leary Arnar Jónsson Geoffrey Orthwein Andrew Sullivan Drama Sci-Fi Thriller
Alfonso CuarónPhilippe Lacheau,Daniel RadcliffePhilippe Lacheau,Gary OldmanÉlodie Fontan,Rupert GrintJulien Arruti,Adventure Family Fantasy MysteryComedy,harry potter and the prisoner of azkabanalibi.com,Daniel Radcliffe Gary Oldman Rupert Grint Alfonso Cuarón Adventure Family Fantasy MysteryPhilippe Lacheau Élodie Fontan Julien Arruti Philippe Lacheau Comedy
M. Night ShyamalanGavin Wiesen,Will SmithJ.K. Simmons,Zoë KravitzAnaleigh Tipton,Glenn MorshowerEmile Hirsch,Action Adventure Sci-FiComedy,after earthall nighter,Will Smith Zoë Kravitz Glenn Morshower M. Night Shyamalan Action Adventure Sci-FiJ.K. Simmons Analeigh Tipton Emile Hirsch Gavin Wiesen Comedy
Eric LeightonNicolas Bedos,Alfre WoodardNicolas Bedos,D.B. SweeneyDoria Tillier,Della ReeseDenis Podalydès,Adventure Animation Family ThrillerRomance Drama Comedy,dinosaurmr & mme adelman,Alfre Woodard D.B. Sweeney Della Reese Eric Leighton Adventure Animation Family ThrillerNicolas Bedos Doria Tillier Denis Podalydès Nicolas Bedos Romance Drama Comedy
Matt BirchSydney Freeland,Rupert GrintAshleigh Murray,Dave LegenoRachel Crow,Ralph InesonTim Blake Nelson,Action FantasyDrama Comedy Crime,harry potter and the deathly hallows: part iideidra & laney rob a train,Rupert Grint Dave Legeno Ralph Ineson Matt Birch Action FantasyAshleigh Murray Rachel Crow Tim Blake Nelson Sydney Freeland Drama Comedy Crime
Shawn LevySimon Amstell,Robin WilliamsSimon Amstell,Rami MalekLinda Bassett,Steve CooganMartin Freeman,Adventure Comedy Family FantasySci-Fi Comedy Documentary,night at the museum: secret of the tombcarnage: swallowing the past,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family FantasySimon Amstell Linda Bassett Martin Freeman Simon Amstell Sci-Fi Comedy Documentary
Tom McGrathTommy O'Haver,J.K. SimmonsMelissa Leo,Brad PittJosh Lucas,Will FerrellMichael Chernus,Action Animation Comedy Family Sci-FiCrime Drama,megamindthe most hated woman in america,J.K. Simmons Brad Pitt Will Ferrell Tom McGrath Action Animation Comedy Family Sci-FiMelissa Leo Josh Lucas Michael Chernus Tommy O'Haver Crime Drama
Chris ColumbusGeorge Mendeluk,Daniel RadcliffeMax Irons,Fiona ShawSamantha Barks,Verne TroyerTerence Stamp,Adventure Family FantasyWar Drama History Romance,harry potter and the sorcerer's stonebitter harvest,Daniel Radcliffe Fiona Shaw Verne Troyer Chris Columbus Adventure Family FantasyMax Irons Samantha Barks Terence Stamp George Mendeluk War Drama History Romance
Robert SchwentkeJohnny Martin,Ryan ReynoldsNicolas Cage,Jeff BridgesDeborah Kara Unger,Stephanie SzostakAnna Hutchison,Action Comedy FantasyAction Thriller,r.i.p.d.vengeance: a love story,Ryan Reynolds Jeff Bridges Stephanie Szostak Robert Schwentke Action Comedy FantasyNicolas Cage Deborah Kara Unger Anna Hutchison Johnny Martin Action Thriller
Hideaki AnnoÁlex de la Iglesia,Mark ChinneryMario Casas,Shin'ya TsukamotoBlanca Suárez,Atsuko MaedaCarmen Machi,Action Adventure Drama Horror Sci-FiHorror Thriller Comedy,godzilla resurgencethe bar,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action Adventure Drama Horror Sci-FiMario Casas Blanca Suárez Carmen Machi Álex de la Iglesia Horror Thriller Comedy
Gore VerbinskiNed Crowley,Johnny DeppJim O'Heir,Orlando BloomAndrew J. West,Jack DavenportJosh McDermitt,Action Adventure FantasyDrama Comedy Crime Thriller,pirates of the caribbean: the curse of the black pearlmiddle man,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure FantasyJim O'Heir Andrew J. West Josh McDermitt Ned Crowley Drama Comedy Crime Thriller
Matt BirchNathan Adloff,Rupert GrintTim Boardman,Toby JonesMissi Pyle,Alfred EnochStephen Root,FantasyDrama,harry potter and the deathly hallows: part imiles,Rupert Grint Toby Jones Alfred Enoch Matt Birch FantasyTim Boardman Missi Pyle Stephen Root Nathan Adloff Drama
Francis LawrenceKelly Asbury,Jennifer LawrenceJulia Roberts,Philip Seymour HoffmanAriel Winter,Josh HutchersonEllie Kemper,Adventure Sci-Fi ThrillerAdventure Animation Comedy Family,the hunger games: mockingjay - part 1smurfs: the lost village,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi ThrillerJulia Roberts Ariel Winter Ellie Kemper Kelly Asbury Adventure Animation Comedy Family
Ron HowardCharlie McDowell,Tom HanksJason Segel,Seth GabelRooney Mara,Jürgen ProchnowRobert Redford,Mystery ThrillerDrama Romance Sci-Fi Thriller,the da vinci codethe discovery,Tom Hanks Seth Gabel Jürgen Prochnow Ron Howard Mystery ThrillerJason Segel Rooney Mara Robert Redford Charlie McDowell Drama Romance Sci-Fi Thriller
Carlos SaldanhaGurinder Chadha,Miguel FerrerHugh Bonneville,Rachel CrowGillian Anderson,Jeffrey GarciaMichael Gambon,Adventure Animation Comedy Family MusicalDrama History,rio 2viceroy's house,Miguel Ferrer Rachel Crow Jeffrey Garcia Carlos Saldanha Adventure Animation Comedy Family MusicalHugh Bonneville Gillian Anderson Michael Gambon Gurinder Chadha Drama History
Bryan SingerAlec Su,Hugh JackmanNick Wang,Bruce DavisonZhang Lu-Yi,Aaron StanfordRuby Lin,Action Adventure Fantasy Sci-Fi ThrillerMystery Thriller,x-men 2the devotion of suspect x,Hugh Jackman Bruce Davison Aaron Stanford Bryan Singer Action Adventure Fantasy Sci-Fi ThrillerNick Wang Zhang Lu-Yi Ruby Lin Alec Su Mystery Thriller
Justin LinNiki Caro,Paul WalkerJessica Chastain,Vin DieselJohan Heldenbergh,Dwayne JohnsonDaniel Brühl,Action Crime ThrillerDrama History,fast fivethe zookeeper's wife,Paul Walker Vin Diesel Dwayne Johnson Justin Lin Action Crime ThrillerJessica Chastain Johan Heldenbergh Daniel Brühl Niki Caro Drama History
Guy RitchieMiguel A. Ferrer,Robert Downey Jr.Amy Johnston,Eddie MarsanCortney Palm,Paul AndersonRey Goyos,Action Adventure Crime Mystery ThrillerDrama Action,sherlock holmes: a game of shadowsfemale fight club,Robert Downey Jr. Eddie Marsan Paul Anderson Guy Ritchie Action Adventure Crime Mystery ThrillerAmy Johnston Cortney Palm Rey Goyos Miguel A. Ferrer Drama Action
Louis LeterrierRobert Legato,Liam NeesonEliza Dushku,Jason FlemyngRobert Patrick,Alexa DavalosChace Crawford,Action Adventure FantasyHorror Mystery Thriller,clash of the titanseloise,Liam Neeson Jason Flemyng Alexa Davalos Louis Leterrier Action Adventure FantasyEliza Dushku Robert Patrick Chace Crawford Robert Legato Horror Mystery Thriller
Paul VerhoevenMarc Webb,Ronny CoxChris Evans,Rachel TicotinMckenna Grace,Marshall BellLindsay Duncan,Action Sci-FiDrama,total recallgifted,Ronny Cox Rachel Ticotin Marshall Bell Paul Verhoeven Action Sci-FiChris Evans Mckenna Grace Lindsay Duncan Marc Webb Drama
John McTiernanSam Liu,Tony CurranStuart Allan,Vladimir KulichJake T. Austin,Clive RussellTaissa Farmiga,Action Adventure HistorySci-Fi Animation Action,the 13th warriorteen titans: the judas contract,Tony Curran Vladimir Kulich Clive Russell John McTiernan Action Adventure HistoryStuart Allan Jake T. Austin Taissa Farmiga Sam Liu Sci-Fi Animation Action
Ron HowardElliott Lester,Clint HowardArnold Schwarzenegger,T.J. ThyneScoot McNairy,Molly ShannonMaggie Grace,Comedy Family FantasyDrama Thriller,how the grinch stole christmasaftermath,Clint Howard T.J. Thyne Molly Shannon Ron Howard Comedy Family FantasyArnold Schwarzenegger Scoot McNairy Maggie Grace Elliott Lester Drama Thriller
Roland EmmerichOle Bornedal,Jake GyllenhaalNicolas Bro,Dennis QuaidUlrich Thomsen,Sela WardMia Lyhne,Action Adventure Sci-Fi ThrillerComedy Crime Drama,the day after tomorrowsmall town killers,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich Action Adventure Sci-Fi ThrillerNicolas Bro Ulrich Thomsen Mia Lyhne Ole Bornedal Comedy Crime Drama
John WooRicardo Herrera,Tom CruiseAndy Goldenberg,Dougray ScottEmily Roya O'Brien,Richard RoxburghNick Armstrong,Action Adventure ThrillerComedy,mission: impossible iithe bigfoot project,Tom Cruise Dougray Scott Richard Roxburgh John Woo Action Adventure ThrillerAndy Goldenberg Emily Roya O'Brien Nick Armstrong Ricardo Herrera Comedy
Wolfgang PetersenJon Gunn,Karen AllenMike Vogel,Mary Elizabeth MastrantonioErika Christensen,Bob GuntonFaye Dunaway,Action Adventure Drama ThrillerDrama,the perfect stormthe case for christ,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen Action Adventure Drama ThrillerMike Vogel Erika Christensen Faye Dunaway Jon Gunn Drama
Tim StoryLeif Tilden,Chris EvansGraham Rogers,Ioan GruffuddBilly Crudup,Andre BraugherLiana Liberato,Action Adventure Sci-Fi ThrillerDrama Romance,fantastic 4: rise of the silver surfer1 mile to you,Chris Evans Ioan Gruffudd Andre Braugher Tim Story Action Adventure Sci-Fi ThrillerGraham Rogers Billy Crudup Liana Liberato Leif Tilden Drama Romance
Ang LeeAaron Woodley,Suraj SharmaJessica Biel,Rafe SpallHilary Swank,TabuSusan Sarandon,Adventure Drama FantasyAdventure Animation Comedy Family Sci-Fi,life of pispark: a space tail,Suraj Sharma Rafe Spall Tabu Ang Lee Adventure Drama FantasyJessica Biel Hilary Swank Susan Sarandon Aaron Woodley Adventure Animation Comedy Family Sci-Fi
Mark Steven JohnsonStella Meghie,Nicolas CageAmandla Stenberg,Matt LongNick Robinson,Peter FondaAnika Noni Rose,Action Fantasy ThrillerDrama Romance,"ghost ridereverything, everything",Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson Action Fantasy ThrillerAmandla Stenberg Nick Robinson Anika Noni Rose Stella Meghie Drama Romance
Paul GreengrassDavid Bowers,Matt DamonJason Ian Drucker,Riz AhmedOwen Asztalos,Ato EssandohCharlie Wright,Action ThrillerComedy Family,jason bournediary of a wimpy kid: the long haul,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass Action ThrillerJason Ian Drucker Owen Asztalos Charlie Wright David Bowers Comedy Family
McGAlain Gomis,Demi MooreVéro Tshanda Beya Mputu,Bernie MacGaetan Claudia,Justin TherouxPapi Mpaka,Action Adventure Comedy CrimeDrama,charlie's angels: full throttlefélicité,Demi Moore Bernie Mac Justin Theroux McG Action Adventure Comedy CrimeVéro Tshanda Beya Mputu Gaetan Claudia Papi Mpaka Alain Gomis Drama
Ridley ScottAndrey Volgin,Michael FassbenderAgniya Ditkovskite,Charlize TheronDenis Shvedov,Sean HarrisAnvar Khalilulaev,Adventure Mystery Sci-FiAction Fantasy,prometheusdance to death,Michael Fassbender Charlize Theron Sean Harris Ridley Scott Adventure Mystery Sci-FiAgniya Ditkovskite Denis Shvedov Anvar Khalilulaev Andrey Volgin Action Fantasy
Rob MinkoffDmitriy Kiselev,Nathan LaneEvgeny Mironov,Brad GarrettKonstantin Khabenskiy,Melanie GriffithVladimir Ilin,Adventure Animation Comedy Family FantasyAdventure Drama History,stuart little 2the spacewalker,Nathan Lane Brad Garrett Melanie Griffith Rob Minkoff Adventure Animation Comedy Family FantasyEvgeny Mironov Konstantin Khabenskiy Vladimir Ilin Dmitriy Kiselev Adventure Drama History
Neill BlomkampSeth Gordon,Matt DamonDwayne Johnson,Sharlto CopleyZac Efron,Alice BragaAlexandra Daddario,Action Drama Sci-Fi ThrillerAction Comedy,elysiumbaywatch,Matt Damon Sharlto Copley Alice Braga Neill Blomkamp Action Drama Sci-Fi ThrillerDwayne Johnson Zac Efron Alexandra Daddario Seth Gordon Action Comedy
David TwohyDenise Di Novi,Vin DieselRosario Dawson,Alexa DavalosKatherine Heigl,Christina CoxGeoff Stults,Action Adventure Sci-Fi ThrillerDrama Thriller,the chronicles of riddickunforgettable,Vin Diesel Alexa Davalos Christina Cox David Twohy Action Adventure Sci-Fi ThrillerRosario Dawson Katherine Heigl Geoff Stults Denise Di Novi Drama Thriller
José PadilhaJonathan Levine,Gary OldmanAmy Schumer,Abbie CornishGoldie Hawn,Jennifer EhleTom Bateman,Action Crime Sci-Fi ThrillerAction Comedy,robocopsnatched,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action Crime Sci-Fi ThrillerAmy Schumer Goldie Hawn Tom Bateman Jonathan Levine Action Comedy
Lana WachowskiAlex Kurtzman,Scott PorterTom Cruise,Kick GurryRussell Crowe,Nicholas EliaAnnabelle Wallis,Action Family SportThriller Action Adventure,speed racerthe mummy,Scott Porter Kick Gurry Nicholas Elia Lana Wachowski Action Family SportTom Cruise Russell Crowe Annabelle Wallis Alex Kurtzman Thriller Action Adventure
James L. BrooksAlastair Orr,Shelley ConnSharni Vinson,Domenick LombardozziCarlyn Burchell,Teyonah ParrisSteve John Ward,Comedy Drama RomanceAction Horror,how do you knowfrom a house on willow street,Shelley Conn Domenick Lombardozzi Teyonah Parris James L. Brooks Comedy Drama RomanceSharni Vinson Carlyn Burchell Steve John Ward Alastair Orr Action Horror
James MangoldF. Gary Gray,Tom CruiseVin Diesel,Marc BlucasJason Statham,Jordi MollàDwayne Johnson,Action Comedy RomanceAction Crime Thriller,knight and daythe fate of the furious,Tom Cruise Marc Blucas Jordi Mollà James Mangold Action Comedy RomanceVin Diesel Jason Statham Dwayne Johnson F. Gary Gray Action Crime Thriller
Joseph KosinskiBryce Wagoner,Morgan FreemanGinger Lynn Allen,Tom CruiseLisa Ann,Zoë BellJanine Lindemulder,Action Adventure Mystery Sci-FiDocumentary,oblivionafter porn ends 2,Morgan Freeman Tom Cruise Zoë Bell Joseph Kosinski Action Adventure Mystery Sci-FiGinger Lynn Allen Lisa Ann Janine Lindemulder Bryce Wagoner Documentary
George LucasGerard McMurray,Natalie PortmanTrevor Jackson,Christopher LeeAlfre Woodard,Hayden ChristensenSteve Harris,Action Adventure Fantasy Sci-FiDrama,star wars: episode iii - revenge of the sithburning sands,Natalie Portman Christopher Lee Hayden Christensen George Lucas Action Adventure Fantasy Sci-FiTrevor Jackson Alfre Woodard Steve Harris Gerard McMurray Drama
George LucasIan Truitner,Natalie PortmanSunny Mabrey,Christopher LeeLance Broadway,Hayden ChristensenT.J. Hoban,Action Adventure Fantasy Sci-FiSci-Fi,star wars: episode ii - attack of the clonesteleios,Natalie Portman Christopher Lee Hayden Christensen George Lucas Action Adventure Fantasy Sci-FiSunny Mabrey Lance Broadway T.J. Hoban Ian Truitner Sci-Fi
Pete DocterSteven Brill,Steve BuscemiAdam Sandler,John RatzenbergerKevin James,James CoburnTerry Crews,Adventure Animation Comedy Family FantasyComedy,"monsters, inc.sandy wexler",Steve Buscemi John Ratzenberger James Coburn Pete Docter Adventure Animation Comedy Family FantasyAdam Sandler Kevin James Terry Crews Steven Brill Comedy
James MangoldPhil Volken,Hugh JackmanBethany Joy Lenz,Tao OkamotoDanny Glover,Rila FukushimaTim Griffin,Action Adventure Sci-Fi ThrillerAction Adventure Crime Drama Thriller,the wolverineextortion,Hugh Jackman Tao Okamoto Rila Fukushima James Mangold Action Adventure Sci-Fi ThrillerBethany Joy Lenz Danny Glover Tim Griffin Phil Volken Action Adventure Crime Drama Thriller
Kirk De MiccoMichael O'Shea,Ryan ReynoldsEric Ruffin,Emma StoneChloe Levine,Nicolas CageAaron Moten,Adventure Animation Comedy Family FantasyHorror Drama,the croodsthe transfiguration,Ryan Reynolds Emma Stone Nicolas Cage Kirk De Micco Adventure Animation Comedy Family FantasyEric Ruffin Chloe Levine Aaron Moten Michael O'Shea Horror Drama
Frédéric ForestierCarson D. Mell,Alain DelonSteve Zissis,Santiago SeguraMark Proksch,Vanessa HesslerJennifer Irwin,Adventure Comedy Family FantasyComedy Horror,asterix at the olympic gamesanother evil,Alain Delon Santiago Segura Vanessa Hessler Frédéric Forestier Adventure Comedy Family FantasySteve Zissis Mark Proksch Jennifer Irwin Carson D. Mell Comedy Horror
John WooJoe Swanberg,Nicolas CageJake Johnson,Roger WillieAislinn Derbez,Noah EmmerichJoe Lo Truglio,Action Drama WarComedy,windtalkerswin it all,Nicolas Cage Roger Willie Noah Emmerich John Woo Action Drama WarJake Johnson Aislinn Derbez Joe Lo Truglio Joe Swanberg Comedy
Cedric Nicolas-TroyanDavid Soren,Chris HemsworthKevin Hart,Sam ClaflinEd Helms,Charlize TheronThomas Middleditch,Action Adventure Drama FantasyAction Animation Comedy Family,the huntsman: winter's warcaptain underpants: the first epic movie,Chris Hemsworth Sam Claflin Charlize Theron Cedric Nicolas-Troyan Action Adventure Drama FantasyKevin Hart Ed Helms Thomas Middleditch David Soren Action Animation Comedy Family
Jonathan LiebesmanCarlos Bolado,Noel FisherMartha Higareda,Danny WoodburnAlfonso Dosal,Jeremy HowardChristian Vazquez,Action Adventure Comedy Sci-FiFamily Comedy,teenage mutant ninja turtles3 idiotas,Noel Fisher Danny Woodburn Jeremy Howard Jonathan Liebesman Action Adventure Comedy Sci-FiMartha Higareda Alfonso Dosal Christian Vazquez Carlos Bolado Family Comedy
Alfonso CuarónZoe Lister-Jones,Phaldut SharmaZoe Lister-Jones,Basher SavageAdam Pally,Amy WarrenFred Armisen,Adventure Drama Sci-Fi ThrillerComedy,gravityband aid,Phaldut Sharma Basher Savage Amy Warren Alfonso Cuarón Adventure Drama Sci-Fi ThrillerZoe Lister-Jones Adam Pally Fred Armisen Zoe Lister-Jones Comedy
Roger DonaldsonTrey Edward Shults,Jamie Renée SmithJoel Edgerton,Grant HeslovChristopher Abbott,Tzi MaCarmen Ejogo,Action Adventure ThrillerHorror Mystery Thriller,dante's peakit comes at night,Jamie Renée Smith Grant Heslov Tzi Ma Roger Donaldson Action Adventure ThrillerJoel Edgerton Christopher Abbott Carmen Ejogo Trey Edward Shults Horror Mystery Thriller
Dave GreenGabriela Cowperthwaite,Stephen AmellKate Mara,Noel FisherRamón Rodríguez,Brad GarrettTom Felton,Action Adventure Comedy Sci-FiDrama War,teenage mutant ninja turtles: out of the shadowsmegan leavey,Stephen Amell Noel Fisher Brad Garrett Dave Green Action Adventure Comedy Sci-FiKate Mara Ramón Rodríguez Tom Felton Gabriela Cowperthwaite Drama War
Josh TrankRoger Michell,Tim Blake NelsonRachel Weisz,Reg E. CatheySam Claflin,Tim HeideckerHolliday Grainger,Action Adventure Sci-FiDrama Romance,fantastic fourmy cousin rachel,Tim Blake Nelson Reg E. Cathey Tim Heidecker Josh Trank Action Adventure Sci-FiRachel Weisz Sam Claflin Holliday Grainger Roger Michell Drama Romance
Shawn LevyDoug Archibald,Robin WilliamsArtemis Pebdani,Rami MalekSasha Mitchell,Steve CooganAngela Trimbur,Action Adventure Comedy Family FantasyComedy,night at the museumi love you both,Robin Williams Rami Malek Steve Coogan Shawn Levy Action Adventure Comedy Family FantasyArtemis Pebdani Sasha Mitchell Angela Trimbur Doug Archibald Comedy
Brad PeytonAri Issler Ben Snyder,Dwayne JohnsonVictor Almanzar,Ioan GruffuddShirley Rumierk,Archie PanjabiElizabeth Rodriguez,Action Adventure Drama ThrillerDrama Crime,san andreas11:55,Dwayne Johnson Ioan Gruffudd Archie Panjabi Brad Peyton Action Adventure Drama ThrillerVictor Almanzar Shirley Rumierk Elizabeth Rodriguez Ari Issler Ben Snyder Drama Crime
Roger SpottiswoodeBrian Fee,Vincent SchiavelliOwen Wilson,Colin SalmonCristela Alonzo,Joe Don BakerChris Cooper,Action Adventure ThrillerFamily Comedy Animation Adventure,tomorrow never diescars 3,Vincent Schiavelli Colin Salmon Joe Don Baker Roger Spottiswoode Action Adventure ThrillerOwen Wilson Cristela Alonzo Chris Cooper Brian Fee Family Comedy Animation Adventure
Roland EmmerichAisling Walsh,Heath LedgerSally Hawkins,Adam BaldwinEthan Hawke,Tom WilkinsonGabrielle Rose,Action Drama History WarDrama History Romance,the patriotmaudie,Heath Ledger Adam Baldwin Tom Wilkinson Roland Emmerich Action Drama History WarSally Hawkins Ethan Hawke Gabrielle Rose Aisling Walsh Drama History Romance
